
"Mitchell Trubisky","Derrick Henry","Austin Ekeler","DK Metcalf","Brandin Cooks","Darnell Mooney","Irv Smith Jr.","Ronald Jones II","Cowboys ","264.3"
"Drew Lock","Derrick Henry","Jonathan Taylor","Tyreek Hill","Brandin Cooks","Robby Anderson","Robert Tonyan","KJ Hamler","Cowboys ","247.0"
"Drew Lock","Derrick Henry","Kenyan Drake","Calvin Ridley","Robby Anderson","Tim Patrick","Rob Gronkowski","J.D. McKissic","Seahawks ","364.6"
"Aaron Rodgers","Kenyan Drake","DeAndre Washington","Davante Adams","A.J. Brown","Chris Godwin","Jimmy Graham","Danny Amendola","Seahawks ","320.9"
"Tom Brady","Austin Ekeler","Chris Carson","Adam Thielen","Mike Evans","Curtis Samuel","T.J. Hockenson","Mack Hollins","Cowboys ","309.4"
"Drew Lock","Derrick Henry","Aaron Jones","Calvin Ridley","Robby Anderson","Michael Pittman Jr.","Jared Cook","KJ Hamler","Seahawks ","330.4"
"Drew Lock","Derrick Henry","Chris Carson","Robby Anderson","Mike Evans","Tim Patrick","Logan Thomas","David Montgomery","Cowboys ","334.6"
"Tom Brady","Kenyan Drake","Todd Gurley II","Tyreek Hill","Brandin Cooks","Chris Godwin","Irv Smith Jr.","J.D. McKissic","Saints ","290.9"
"Drew Lock","Austin Ekeler","David Montgomery","Davante Adams","Robby Anderson","DeVante Parker","Evan Engram","KJ Hamler","Cowboys ","304.2"
"Drew Lock","Austin Ekeler","Chris Carson","Brandin Cooks","Curtis Samuel","KJ Hamler","Darren Waller","James Robinson","Cowboys ","319.8"
"Drew Lock","Aaron Jones","Chris Carson","Tyreek Hill","Tim Patrick","Curtis Samuel","Logan Thomas","David Montgomery","Giants ","414.0"
"Tua Tagovailoa","Austin Ekeler","Josh Jacobs","Calvin Ridley","A.J. Brown","Mecole Hardman","Mike Gesicki","J.D. McKissic","Saints ","267.3"
"Drew Lock","Dalvin Cook","DeAndre Washington","Robby Anderson","Chris Godwin","Tim Patrick","Travis Kelce","Emmanuel Sanders","Seahawks ","303.4"
"Mitchell Trubisky","Ezekiel Elliott","Todd Gurley II","Keenan Allen","Brandin Cooks","Chris Godwin","Travis Kelce","Darnell Mooney","Seahawks ","189.4"
"Drew Lock","Austin Ekeler","Chris Carson","Calvin Ridley","Robby Anderson","Tim Patrick","Irv Smith Jr.","Ronald Jones II","Saints ","296.4"
"Drew Lock","Aaron Jones","Giovani Bernard","Calvin Ridley","Robby Anderson","Corey Davis","Darren Waller","KJ Hamler","Seahawks ","262.7"
"Aaron Rodgers","David Montgomery","Jonathan Taylor","Calvin Ridley","Chris Godwin","Curtis Samuel","Robert Tonyan","Danny Amendola","Seahawks ","275.2"
"Drew Lock","Derrick Henry","Miles Sanders","Keenan Allen","Robby Anderson","Michael Pittman Jr.","T.J. Hockenson","KJ Hamler","Seahawks ","265.1"
"Drew Lock","Alvin Kamara","David Montgomery","A.J. Brown","Amari Cooper","Tim Patrick","T.J. Hockenson","Curtis Samuel","Seahawks ","321.5"
